id,code,full name,R,composition,mass
W,Trp,Tryptophan,,C11H10N2O,186.21
Y,Tyr,Tyrosine,-Ph-OH,C9H9NO2,163.17
R,Arg,Arginine,,C6H12N4O,156.19
F,Phe,Phenylalanine,,C9H9NO,147.18
H,His,Histidine,,C6H7N3O,137.14
M,Met,Methionine,,C5H9NOS,131.2
E,Glu,Glutamic Acid,,C5H7NO3,129.12
K,Lys,Lysine,,C6H12N2O,128.17
Q,Gln,Glutamine,,C5H8N2O2,128.13
D,Asp,Aspartic Acid,,C4H5NO3,115.09
N,Asn,Asparagine,,C4H6N2O2,114.1
I,Ile,Isoleucine,,C6H11NO,113.16
L,Leu,Leucine,-C-C(C)C,C6H11NO,113.16
C,Cys,Cysteine,,C3H5NOS,103.14
T,Thr,Threonine,,C4H7NO2,101.11
V,Val,Valine,,C5H9NO,99.13
P,Pro,Proline,,C5H7NO,97.12
S,Ser,Serine,,C3H5NO2,87.08
A,Ala,Alanine,-Me,C3H5NO,71.08
G,Gly,Glycine,-H,C2H3NO,57.05
*,[*],Stop,,,
X,[X],Unknown,,,
