iso_code,date,indicator,value
USA,2020-07-15,Daily ICU occupancy,9245.0
USA,2020-07-15,Daily ICU occupancy per million,27.77
USA,2020-07-15,Daily hospital occupancy,33755.0
USA,2020-07-15,Daily hospital occupancy per million,101.392
USA,2020-07-16,Daily ICU occupancy,9797.0
USA,2020-07-16,Daily ICU occupancy per million,29.428
USA,2020-07-16,Daily hospital occupancy,38532.0
USA,2020-07-16,Daily hospital occupancy per million,115.741
USA,2020-07-17,Daily ICU occupancy,10700.0
USA,2020-07-17,Daily ICU occupancy per million,32.14
USA,2020-07-17,Daily hospital occupancy,40057.0
USA,2020-07-17,Daily hospital occupancy per million,120.322
USA,2020-07-18,Daily ICU occupancy,10963.0
USA,2020-07-18,Daily ICU occupancy per million,32.93
USA,2020-07-18,Daily hospital occupancy,40372.0
USA,2020-07-18,Daily hospital occupancy per million,121.268
USA,2020-07-19,Daily ICU occupancy,10271.0
USA,2020-07-19,Daily ICU occupancy per million,30.852
USA,2020-07-19,Daily hospital occupancy,37895.0
USA,2020-07-19,Daily hospital occupancy per million,113.828
USA,2020-07-20,Daily ICU occupancy,11291.0
USA,2020-07-20,Daily ICU occupancy per million,33.916
USA,2020-07-20,Daily hospital occupancy,41136.0
USA,2020-07-20,Daily hospital occupancy per million,123.563
USA,2020-07-21,Daily ICU occupancy,11458.0
USA,2020-07-21,Daily ICU occupancy per million,34.417
USA,2020-07-21,Daily hospital occupancy,42192.0
USA,2020-07-21,Daily hospital occupancy per million,126.735
USA,2020-07-21,Weekly new hospital admissions,30554.0
USA,2020-07-21,Weekly new hospital admissions per million,91.777
USA,2020-07-22,Daily ICU occupancy,12487.0
USA,2020-07-22,Daily ICU occupancy per million,37.508
USA,2020-07-22,Daily hospital occupancy,46104.0
USA,2020-07-22,Daily hospital occupancy per million,138.486
USA,2020-07-22,Weekly new hospital admissions,31354.0
USA,2020-07-22,Weekly new hospital admissions per million,94.18
USA,2020-07-23,Daily ICU occupancy,13910.0
USA,2020-07-23,Daily ICU occupancy per million,41.782
USA,2020-07-23,Daily hospital occupancy,47821.0
USA,2020-07-23,Daily hospital occupancy per million,143.643
USA,2020-07-23,Weekly new hospital admissions,31680.0
USA,2020-07-23,Weekly new hospital admissions per million,95.159
USA,2020-07-24,Daily ICU occupancy,13623.0
USA,2020-07-24,Daily ICU occupancy per million,40.92
USA,2020-07-24,Daily hospital occupancy,46734.0
USA,2020-07-24,Daily hospital occupancy per million,140.378
USA,2020-07-24,Weekly new hospital admissions,31871.0
USA,2020-07-24,Weekly new hospital admissions per million,95.733
USA,2020-07-25,Daily ICU occupancy,14398.0
USA,2020-07-25,Daily ICU occupancy per million,43.248
USA,2020-07-25,Daily hospital occupancy,51815.0
USA,2020-07-25,Daily hospital occupancy per million,155.64
USA,2020-07-25,Weekly new hospital admissions,32805.0
USA,2020-07-25,Weekly new hospital admissions per million,98.539
USA,2020-07-26,Daily ICU occupancy,12400.0
USA,2020-07-26,Daily ICU occupancy per million,37.247
USA,2020-07-26,Daily hospital occupancy,43102.0
USA,2020-07-26,Daily hospital occupancy per million,129.468
USA,2020-07-26,Weekly new hospital admissions,33649.0
USA,2020-07-26,Weekly new hospital admissions per million,101.074
USA,2020-07-27,Daily ICU occupancy,14233.0
USA,2020-07-27,Daily ICU occupancy per million,42.753
USA,2020-07-27,Daily hospital occupancy,47176.0
USA,2020-07-27,Daily hospital occupancy per million,141.706
USA,2020-07-27,Weekly new hospital admissions,34620.0
USA,2020-07-27,Weekly new hospital admissions per million,103.99
USA,2020-07-28,Daily ICU occupancy,14583.0
USA,2020-07-28,Daily ICU occupancy per million,43.804
USA,2020-07-28,Daily hospital occupancy,48118.0
USA,2020-07-28,Daily hospital occupancy per million,144.535
USA,2020-07-28,Weekly new hospital admissions,35635.0
USA,2020-07-28,Weekly new hospital admissions per million,107.039
USA,2020-07-29,Daily ICU occupancy,14025.0
USA,2020-07-29,Daily ICU occupancy per million,42.128
USA,2020-07-29,Daily hospital occupancy,45624.0
USA,2020-07-29,Daily hospital occupancy per million,137.044
USA,2020-07-29,Weekly new hospital admissions,36275.0
USA,2020-07-29,Weekly new hospital admissions per million,108.962
USA,2020-07-30,Daily ICU occupancy,14659.0
USA,2020-07-30,Daily ICU occupancy per million,44.032
USA,2020-07-30,Daily hospital occupancy,46842.0
USA,2020-07-30,Daily hospital occupancy per million,140.703
USA,2020-07-30,Weekly new hospital admissions,36801.0
USA,2020-07-30,Weekly new hospital admissions per million,110.542
USA,2020-07-31,Daily ICU occupancy,14609.0
USA,2020-07-31,Daily ICU occupancy per million,43.882
USA,2020-07-31,Daily hospital occupancy,46160.0
USA,2020-07-31,Daily hospital occupancy per million,138.654
USA,2020-07-31,Weekly new hospital admissions,38022.0
USA,2020-07-31,Weekly new hospital admissions per million,114.209
USA,2020-08-01,Daily ICU occupancy,14400.0
USA,2020-08-01,Daily ICU occupancy per million,43.254
USA,2020-08-01,Daily hospital occupancy,50413.0
USA,2020-08-01,Daily hospital occupancy per million,151.429
USA,2020-08-01,Weekly new hospital admissions,38575.0
USA,2020-08-01,Weekly new hospital admissions per million,115.87
USA,2020-08-02,Daily ICU occupancy,14053.0
USA,2020-08-02,Daily ICU occupancy per million,42.212
USA,2020-08-02,Daily hospital occupancy,50232.0
USA,2020-08-02,Daily hospital occupancy per million,150.885
USA,2020-08-02,Weekly new hospital admissions,38563.0
USA,2020-08-02,Weekly new hospital admissions per million,115.834
USA,2020-08-03,Daily ICU occupancy,14250.0
USA,2020-08-03,Daily ICU occupancy per million,42.804
USA,2020-08-03,Daily hospital occupancy,45305.0
USA,2020-08-03,Daily hospital occupancy per million,136.086
USA,2020-08-03,Weekly new hospital admissions,38049.0
USA,2020-08-03,Weekly new hospital admissions per million,114.29
USA,2020-08-04,Daily ICU occupancy,14119.0
USA,2020-08-04,Daily ICU occupancy per million,42.41
USA,2020-08-04,Daily hospital occupancy,45147.0
USA,2020-08-04,Daily hospital occupancy per million,135.611
USA,2020-08-04,Weekly new hospital admissions,37014.0
USA,2020-08-04,Weekly new hospital admissions per million,111.182
USA,2020-08-05,Daily ICU occupancy,14062.0
USA,2020-08-05,Daily ICU occupancy per million,42.239
USA,2020-08-05,Daily hospital occupancy,44671.0
USA,2020-08-05,Daily hospital occupancy per million,134.181
USA,2020-08-05,Weekly new hospital admissions,36597.0
USA,2020-08-05,Weekly new hospital admissions per million,109.929
USA,2020-08-06,Daily ICU occupancy,13885.0
USA,2020-08-06,Daily ICU occupancy per million,41.707
USA,2020-08-06,Daily hospital occupancy,43884.0
USA,2020-08-06,Daily hospital occupancy per million,131.817
USA,2020-08-06,Weekly new hospital admissions,36120.0
USA,2020-08-06,Weekly new hospital admissions per million,108.496
USA,2020-08-07,Daily ICU occupancy,13767.0
USA,2020-08-07,Daily ICU occupancy per million,41.353
USA,2020-08-07,Daily hospital occupancy,43203.0
USA,2020-08-07,Daily hospital occupancy per million,129.772
USA,2020-08-07,Weekly new hospital admissions,34750.0
USA,2020-08-07,Weekly new hospital admissions per million,104.381
USA,2020-08-08,Daily ICU occupancy,13356.0
USA,2020-08-08,Daily ICU occupancy per million,40.118
USA,2020-08-08,Daily hospital occupancy,41584.0
USA,2020-08-08,Daily hospital occupancy per million,124.909
USA,2020-08-08,Weekly new hospital admissions,33370.0
USA,2020-08-08,Weekly new hospital admissions per million,100.236
USA,2020-08-09,Daily ICU occupancy,13163.0
USA,2020-08-09,Daily ICU occupancy per million,39.539
USA,2020-08-09,Daily hospital occupancy,41472.0
USA,2020-08-09,Daily hospital occupancy per million,124.572
USA,2020-08-09,Weekly new hospital admissions,33016.0
USA,2020-08-09,Weekly new hospital admissions per million,99.172
USA,2020-08-10,Daily ICU occupancy,13183.0
USA,2020-08-10,Daily ICU occupancy per million,39.599
USA,2020-08-10,Daily hospital occupancy,42074.0
USA,2020-08-10,Daily hospital occupancy per million,126.381
USA,2020-08-10,Weekly new hospital admissions,32635.0
USA,2020-08-10,Weekly new hospital admissions per million,98.028
USA,2020-08-11,Daily ICU occupancy,13060.0
USA,2020-08-11,Daily ICU occupancy per million,39.229
USA,2020-08-11,Daily hospital occupancy,41650.0
USA,2020-08-11,Daily hospital occupancy per million,125.107
USA,2020-08-11,Weekly new hospital admissions,32365.0
USA,2020-08-11,Weekly new hospital admissions per million,97.217
USA,2020-08-12,Daily ICU occupancy,12870.0
USA,2020-08-12,Daily ICU occupancy per million,38.659
USA,2020-08-12,Daily hospital occupancy,41826.0
USA,2020-08-12,Daily hospital occupancy per million,125.636
USA,2020-08-12,Weekly new hospital admissions,31978.0
USA,2020-08-12,Weekly new hospital admissions per million,96.055
USA,2020-08-13,Daily ICU occupancy,12680.0
USA,2020-08-13,Daily ICU occupancy per million,38.088
USA,2020-08-13,Daily hospital occupancy,41252.0
USA,2020-08-13,Daily hospital occupancy per million,123.911
USA,2020-08-13,Weekly new hospital admissions,31664.0
USA,2020-08-13,Weekly new hospital admissions per million,95.111
USA,2020-08-14,Daily ICU occupancy,12516.0
USA,2020-08-14,Daily ICU occupancy per million,37.595
USA,2020-08-14,Daily hospital occupancy,39993.0
USA,2020-08-14,Daily hospital occupancy per million,120.13
USA,2020-08-14,Weekly new hospital admissions,31574.0
USA,2020-08-14,Weekly new hospital admissions per million,94.841
USA,2020-08-15,Daily ICU occupancy,12246.0
USA,2020-08-15,Daily ICU occupancy per million,36.784
USA,2020-08-15,Daily hospital occupancy,38696.0
USA,2020-08-15,Daily hospital occupancy per million,116.234
USA,2020-08-15,Weekly new hospital admissions,31660.0
USA,2020-08-15,Weekly new hospital admissions per million,95.099
USA,2020-08-16,Daily ICU occupancy,11991.0
USA,2020-08-16,Daily ICU occupancy per million,36.018
USA,2020-08-16,Daily hospital occupancy,38848.0
USA,2020-08-16,Daily hospital occupancy per million,116.69
USA,2020-08-16,Weekly new hospital admissions,31685.0
USA,2020-08-16,Weekly new hospital admissions per million,95.174
USA,2020-08-17,Daily ICU occupancy,11971.0
USA,2020-08-17,Daily ICU occupancy per million,35.958
USA,2020-08-17,Daily hospital occupancy,39047.0
USA,2020-08-17,Daily hospital occupancy per million,117.288
USA,2020-08-17,Weekly new hospital admissions,32170.0
USA,2020-08-17,Weekly new hospital admissions per million,96.631
USA,2020-08-18,Daily ICU occupancy,11960.0
USA,2020-08-18,Daily ICU occupancy per million,35.925
USA,2020-08-18,Daily hospital occupancy,38909.0
USA,2020-08-18,Daily hospital occupancy per million,116.874
USA,2020-08-18,Weekly new hospital admissions,32120.0
USA,2020-08-18,Weekly new hospital admissions per million,96.481
USA,2020-08-19,Daily ICU occupancy,11575.0
USA,2020-08-19,Daily ICU occupancy per million,34.769
USA,2020-08-19,Daily hospital occupancy,38016.0
USA,2020-08-19,Daily hospital occupancy per million,114.191
USA,2020-08-19,Weekly new hospital admissions,31937.0
USA,2020-08-19,Weekly new hospital admissions per million,95.931
USA,2020-08-20,Daily ICU occupancy,11266.0
USA,2020-08-20,Daily ICU occupancy per million,33.84
USA,2020-08-20,Daily hospital occupancy,37331.0
